day,hour,3,tmp,vdc,wd,ws,amb,dew,so2,no,no2,nox,co,co2,gas,air
,22:00,,21.6,1.47,71,0.7,19.8,19.6,,,,,0.6,0.7,-1.4,-0.06
,23:00,,22.3,1.47,93,0.6,19.6,19.6,,,,,,,,
,0:00,,21.7,1.47,86,0.9,19.6,19.8,,,,,,,-1.6,
,1:00,8,21.4,1.47,66,1,19.5,19.6,-0.1,0,2.9,2.9,0.7,0.7,-1.4,-0.06
,2:00,7,21.6,1.47,73,0.8,19.5,19.6,-0.1,0,3,3,0.7,0.7,-1.4,-0.06
,3:00,7,21.4,1.47,62,0.5,19.6,19.6,-0.1,0,2.4,2.4,0.7,0.7,-1.4,-0.06
,4:00,7,21.6,1.47,25,0.4,19.6,19.6,-0.2,0,1.5,1.5,0.6,0.7,-1.4,-0.06
,5:00,7,21.5,1.47,48,0.5,19.6,19.7,-0.2,0.1,1.3,1.3,0.6,0.6,-1.4,-0.06
,6:00,7,21.5,1.47,38,0.9,19.7,19.7,-0.1,0.1,1.1,1.2,0.6,0.6,-1.4,-0.06
,7:00,9,21.4,1.47,22,0.8,19.8,19.5,-0.1,0.2,0.8,1,0.6,0.6,-1.4,-0.06
,8:00,10,21.3,1.47,50,0.2,20.2,19.7,0.1,0.5,0.7,1.1,0.6,0.6,-1.4,-0.06
,9:00,13,21,1.47,77,0.5,20.7,19.4,0,0.4,0.3,0.6,0.6,0.6,-1.4,-0.06
,10:00,17,21.2,1.47,120,0.7,21.6,18.6,0,0.3,0.2,0.5,0.6,0.6,-1.4,-0.06
,11:00,20,21.8,1.47,213,0.8,23.3,17.5,-0.1,0.3,0.1,0.3,0.6,0.6,-1.4,-0.06
,12:00,23,22.8,1.47,219,1.5,24.6,17.3,-0.1,0.4,0.2,0.5,0.6,0.6,-1.4,-0.06
,13:00,26,23.7,1.47,188,1.9,25.8,18.4,-0.1,0.2,-0.1,0.1,0.6,0.6,-1.5,-0.06
,14:00,28,24.7,1.47,147,1.5,26.4,19,-0.1,0.3,0.1,0.4,0.6,0.6,-1.5,-0.06
,15:00,22,25.4,1.47,14,3.3,24.3,20.4,-0.1,0.1,-0.3,-0.2,0.6,0.7,-1.5,-0.07
,16:00,24,25.5,1.47,18,2.4,25,20.5,-0.1,0.1,-0.3,-0.2,0.7,0.7,-1.6,-0.07
,17:00,20,25.4,1.47,11,1.9,24.8,20.8,-0.1,0.1,-0.5,-0.4,0.6,0.7,-1.6,-0.07
,18:00,11,24.9,1.47,12,0.8,23.5,21.3,-0.1,0.6,0.2,0.7,0.7,0.7,-1.6,-0.07
,19:00,7,24.3,1.47,313,0.7,21.9,20.9,-0.1,0.4,0.4,0.8,0.7,0.7,-1.5,-0.07
,20:00,4,23.6,1.47,346,0.5,21.5,21,-0.1,0.2,-0.1,0.2,0.7,0.7,-1.5,-0.06
,21:00,6,23,1.47,11,0.5,21.4,20.7,-0.1,0.1,-0.4,-0.3,0.6,0.6,-1.5,-0.06
,22:00,,23,1.47,27,0.4,20.9,20.4,,,,,0.6,0.6,-1.5,-0.06
,23:00,,23.6,1.47,239,0.5,20.3,19.4,,,,,,,,
,0:00,,22.7,1.47,53,0.5,19.6,18.9,,,,,,,-1.6,
,1:00,1,21.6,1.47,48,1.4,19,18.5,-0.2,0,-0.3,-0.3,0.6,0.6,-1.5,-0.06
,2:00,3,21.5,1.47,259,0.5,19.3,19,-0.2,0.1,-0.4,-0.4,0.6,0.6,-1.4,-0.06
,3:00,4,21.6,1.47,261,0.4,19.4,19.3,-0.2,0.1,-0.1,0,0.6,0.6,-1.4,-0.06
,4:00,3,21.6,1.47,315,0.3,18.9,19.1,-0.2,0,-0.2,-0.2,0.6,0.6,-1.4,-0.06
,5:00,4,21.7,1.47,37,0.5,18.9,19.1,-0.1,0,-0.3,-0.3,0.6,0.6,-1.4,-0.06
,6:00,3,21.7,1.47,262,0.5,18.6,18.6,-0.1,0.5,-0.1,0.5,0.6,0.6,-1.4,-0.06
,7:00,4,21.5,1.47,243,0.2,19.4,6.8,-0.1,0.9,-0.1,0.9,0.6,0.6,-1.4,-0.06
,8:00,14,21.2,1.47,125,0.3,20.3,-9.5,0.1,0.4,0.3,0.6,0.6,0.6,-1.4,-0.06
,9:00,19,21.3,1.47,55,1.1,21.3,-8.8,0.1,0.2,0.1,0.2,0.6,0.6,-1.4,-0.06
,10:00,21,22.1,1.47,96,1.8,22.9,-8.4,0,0.2,0.1,0.2,0.6,0.6,-1.4,-0.06
,11:00,23,23.1,1.47,185,1.1,24.5,-7.7,0,0.3,0.2,0.5,0.6,0.6,-1.4,-0.06
,12:00,28,23.9,1.47,210,1.4,26,-7.5,-0.1,0.2,0.2,0.3,0.6,0.6,-1.5,-0.06
,13:00,32,24.7,1.47,136,2.6,26.3,6.8,0.3,0.5,1.1,1.6,0.7,0.7,-1.5,-0.06
,14:00,39,25.5,1.47,103,3.6,26.9,26,0.3,0.2,1,1.2,0.7,0.7,-1.5,-0.07
,15:00,39,26.2,1.47,98,3.6,26,25.5,0.1,0.2,1.5,1.7,0.8,0.8,-1.6,-0.07
,16:00,35,26.3,1.47,79,2.3,24.8,24.4,0.2,0.7,2.8,3.5,0.8,0.8,-1.6,-0.07
,17:00,33,25.8,1.47,307,2.6,21.6,22.6,0,0.2,1.3,1.5,0.7,0.7,-1.6,-0.07
,18:00,34,25,1.47,274,3,21,22.3,-0.1,0,0.7,0.7,0.7,0.7,-1.6,-0.07
,19:00,22,24.2,1.47,225,0.2,20.9,22,-0.1,0.1,1.2,1.3,0.7,0.7,-1.5,-0.07
,20:00,15,23.4,1.47,233,1,20.6,21.3,-0.1,0.2,1.1,1.2,0.7,0.7,-1.5,-0.06
,21:00,18,22.7,1.47,210,0.7,20.4,21.1,-0.1,0.1,0.3,0.3,0.6,0.6,-1.5,-0.06
,22:00,,22.5,1.47,225,0.2,20.1,20.7,,,,,0.6,0.7,-1.4,-0.06
,23:00,,23.1,1.47,109,0.2,19.6,21.1,,,,,,,,
,0:00,,22.4,1.47,37,0.8,19.5,20.4,,,,,,,-1.6,
,1:00,6,21.5,1.47,17,0.4,19.5,20.4,-0.2,0,-0.1,-0.1,0.6,0.6,-1.5,-0.06
,2:00,4,21.4,1.47,251,0.1,19.5,20.3,-0.2,0,-0.4,-0.4,0.6,0.6,-1.4,-0.06
,3:00,6,21.7,1.47,264,0.5,19.3,20,-0.2,0,-0.5,-0.5,0.6,0.6,-1.4,-0.06
,4:00,7,21.6,1.47,63,0.1,19.3,19.8,-0.1,0,-0.4,-0.3,0.6,0.6,-1.4,-0.06
,5:00,3,21.4,1.47,63,0.3,19,19.5,-0.2,0.6,-0.1,0.5,0.6,0.7,-1.4,-0.06
,6:00,2,21.6,1.47,326,0.2,19.1,19.8,-0.1,1.1,0.2,1.2,0.7,0.7,-1.4,-0.06
,7:00,4,21.4,1.47,135,0,19.8,20.6,-0.1,0.9,0.4,1.3,0.7,0.7,-1.4,-0.06
,8:00,8,21,1.47,69,0.3,20.6,21.8,-0.1,0.6,0.3,0.8,0.7,0.7,-1.4,-0.06
,9:00,15,21.7,1.47,97,1.1,22.1,22.4,0,0.3,0,0.3,0.7,0.7,-1.4,-0.06
,10:00,23,22.9,1.47,154,1.9,24,22.1,0.1,0.3,0.3,0.5,0.7,0.7,-1.4,-0.06
,11:00,32,24.1,1.47,161,2.2,26.1,21.3,0.2,0.3,0.2,0.5,0.7,0.7,-1.5,-0.06
,12:00,36,25,1.47,191,1.8,27.2,21,0.3,0.2,0.4,0.7,0.7,0.7,-1.5,-0.06
,13:00,36,28.5,1.47,173,1,26.4,20.5,0.4,0.4,1.2,1.6,0.8,0.8,-1.6,-0.07
,14:00,45,29.1,1.47,171,1.9,27.3,19.7,0.3,0.3,1.6,1.9,0.8,0.8,-1.7,-0.07
,15:00,47,28.6,1.47,194,2,27.6,20,0.4,0.2,2.5,2.7,0.8,0.8,-1.7,-0.07
,16:00,44,28.5,1.47,246,4.1,26.8,20.8,0.2,0.2,3.2,3.3,0.8,0.8,-1.7,-0.07
,17:00,37,28.1,1.47,259,3.1,25.6,20,0.2,0.1,2.5,2.6,0.8,1,-1.7,-0.07
,18:00,24,27.2,1.47,250,1.8,24,20.5,0.1,0.2,2.6,2.8,0.8,0.8,-1.7,-0.07
,19:00,14,26.2,1.47,246,2,22.1,20.6,0,0.5,1.5,2,0.7,0.8,-1.6,-0.07
,20:00,15,25.1,1.47,201,0.9,21.1,19.7,0,0.3,1.6,1.9,0.7,0.7,-1.6,-0.07
,21:00,14,24.1,1.47,251,0.6,20.3,19,-0.1,0,0.2,0.2,0.7,0.7,-1.5,-0.07
,22:00,,23.6,1.47,284,0.2,19.5,18.2,,,,,0.7,0.7,-1.5,-0.06
,23:00,,23.9,1.47,202,0.2,19.2,17.6,,,,,,,,
,0:00,,22.8,1.47,90,0.4,18.6,17.4,,,,,,,-1.7,
,1:00,5,22.5,1.47,30,1,18.3,17.1,-0.1,0,-0.2,-0.1,0.6,0.6,-1.5,-0.06
,2:00,8,22.3,1.47,310,0.2,18.3,16.7,-0.1,0,-0.4,-0.4,0.6,0.6,-1.5,-0.06
,3:00,8,22.4,1.47,112,0.3,18,16.4,-0.1,0,-0.4,-0.4,0.6,0.6,-1.5,-0.06
,4:00,10,22.7,1.47,11,0.2,18,16.1,-0.1,0,-0.4,-0.4,0.6,0.6,-1.5,-0.06
,5:00,6,23,1.47,16,0.8,17.3,15.8,-0.1,0.3,-0.2,0.1,0.7,0.7,-1.5,-0.06
,6:00,10,23,1.47,0,0,17.5,15.8,-0.1,0.1,-0.2,-0.1,0.6,0.6,-1.5,-0.06
,7:00,8,22.3,1.47,315,0.1,18.8,17.4,-0.1,1.1,0.1,1.2,0.7,0.7,-1.5,-0.06
,8:00,12,21.8,1.47,243,0.4,21.1,20.1,-0.1,0.5,0.2,0.7,0.7,0.7,-1.4,-0.06
,9:00,23,22.9,1.47,151,0.9,23.8,22.7,0.1,0.2,0.1,0.3,0.7,0.7,-1.4,-0.06
,10:00,33,24.2,1.47,133,1.2,25.4,25.3,0.4,0.2,0.3,0.5,0.7,0.7,-1.5,-0.06
,11:00,37,25.2,1.47,221,1.4,26.9,20.3,0.3,0.2,0.3,0.5,0.7,0.7,-1.5,-0.07
,12:00,46,26.1,1.47,197,2.1,27.6,20,0.6,0.2,1,1.2,0.7,0.7,-1.6,-0.07
,13:00,49,26.8,1.47,160,2.6,27.9,18,0.8,0.2,0.8,1,0.7,0.7,-1.6,-0.07
,14:00,44,27.4,1.47,231,2.3,26.7,19.7,0.6,0.2,2,2.2,0.8,0.8,-1.6,-0.07
,15:00,53,27.5,1.47,247,1.5,26.9,19.2,2.1,0.2,2.8,3,0.8,0.8,-1.7,-0.07
,16:00,56,27.5,1.47,319,0.9,27.7,18.8,1.7,0.1,2.1,2.2,0.7,0.8,-1.7,-0.07
,17:00,47,27.2,1.47,127,1.5,26,19.4,0.9,0.1,3.2,3.4,0.8,0.8,-1.7,-0.07
,18:00,33,26.5,1.47,0,0.2,24.2,20.3,0.4,0.1,2.1,2.2,0.8,0.8,-1.6,-0.07
,19:00,24,25.7,1.47,303,1.7,22.5,20.6,0.5,0,1.3,1.4,0.7,0.8,-1.6,-0.07
,20:00,29,24.7,1.47,241,0.8,21.9,19.8,0.9,0,1.3,1.4,0.7,0.7,-1.6,-0.07
,21:00,25,23.9,1.47,249,0.9,21.1,19.9,0.5,0,0.7,0.7,0.7,0.7,-1.5,-0.07
,22:00,,23.6,1.47,47,1.6,20.6,19.7,,,,,0.7,0.7,-1.5,-0.06
,23:00,,24.1,1.47,36,0.7,20.4,19.1,,,,,,,,
,0:00,,23.2,1.47,90,0.1,20.1,18.9,,,,,,,-1.7,
,1:00,11,22.1,1.47,79,0.5,20,19.2,0.1,0,0.8,0.9,0.8,0.8,-1.5,-0.06
,2:00,12,21.5,1.47,281,1.1,20,19.1,0.1,0,0.5,0.5,0.7,0.7,-1.4,-0.06
,3:00,12,21.6,1.47,172,0.2,19.7,18.4,0.1,0.1,0.4,0.4,0.7,0.7,-1.4,-0.06
,4:00,6,21.7,1.47,25,1.1,19.1,18.2,-0.1,0.1,0.3,0.3,0.7,0.7,-1.4,-0.06
,5:00,5,21.7,1.47,188,0.4,19.2,18.5,0,2.7,0.8,3.2,0.7,0.7,-1.4,-0.06
,6:00,4,21.7,1.47,350,0.3,19,18.6,-0.1,0.4,0.6,1,0.7,0.7,-1.4,-0.06
,7:00,2,21.5,1.47,71,0.2,19.5,20,-0.1,0.6,0.3,0.8,0.7,0.7,-1.4,-0.06
,8:00,9,21.2,1.47,21,0.6,20.5,21.4,0,0.6,0.9,1.4,0.7,0.7,-1.4,-0.06
,9:00,23,21.2,1.47,217,0.8,21.8,23.2,0,0.4,1.6,2,0.7,0.7,-1.4,-0.06
,10:00,35,23,1.47,185,2.2,24.4,20.8,0.2,0.6,2.1,2.7,0.7,0.7,-1.4,-0.06
,11:00,41,24,1.47,169,2.6,26,20.8,0.1,0.5,2,2.5,0.7,0.7,-1.5,-0.06
,12:00,42,24.9,1.47,181,2.5,27.3,20.9,0.1,0.2,0.9,1.1,0.7,0.7,-1.5,-0.07
,13:00,41,25.9,1.47,197,2.5,28.1,20.5,0.1,0.2,0.9,1.2,0.7,0.7,-1.6,-0.07
,14:00,40,26.8,1.47,202,2.2,27.3,20.9,0.1,0.3,1.6,2,0.8,0.8,-1.6,-0.07
,15:00,36,27,1.47,254,4.1,25.2,20.9,0.1,0.2,1.2,1.4,0.8,0.8,-1.6,-0.07
,16:00,36,26.5,1.47,257,3.2,22.2,18.9,-0.1,0.1,1,1.1,0.7,0.7,-1.6,-0.07
,17:00,31,25.6,1.47,243,2.7,22.2,18.5,-0.1,0.3,2.2,2.5,0.7,0.7,-1.6,-0.07
,18:00,33,24.8,1.47,283,4.3,21.9,18.4,-0.1,0,1.5,1.5,0.7,0.7,-1.6,-0.07
,19:00,31,24,1.47,228,2.6,21,18.9,-0.1,0.1,1.8,1.8,0.7,0.7,-1.5,-0.07
