1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,SSN,year
,,,,,,,,,,,,,,,,,,,,,,162.4,81
,,,,,,,,,,,,,,,,,,,,,,137.5,81
,,,,,,,,,,,,,,,,,,,,,,150.1,81
,,,,,,,,,,,,,,,,,,,,,,111.2,82
,,,,,,,,,,,,,,,,,,,,,,163.6,82
,,,,,,,,,,,,,,,,,,,,,,153.8,82
,,,,,,,,,,,,,,,,,,,,,,122,82
,,,,,,,,,,,,,,,,,,,,,,82.2,82
,,,,,,,,,,,,,,,,,,,,,,110.4,82
,,,,,,,,,,,,,,,,,,,,,,106.1,82
,,,,,,,,,,,,,,,,,,,,,,107.6,82
,,,,,,,,,,,,,,,,,,,,,,118.8,82
,,,,,,,,,,,,,,,,,,,,,,94.7,82
,,,,,,,,,,,,,,,,,,,,,,98.1,82
,,,,,,,,,,,,,,,,,,,,,,127,82
,,,,,,,,,,,,,,,,,,,,,,84.3,83
,,,,,,,,,,,,,,,,,,,,,,51,83
,,,,,,,,,,,,,,,,,,,,,,66.5,83
,,,,,,,,,,,,,,,,,,,,,,80.7,83
,,,,,,,,,,,,,,,,,,,,,,99.2,83
,,,,,,,,,,,,,,,,,,,,,,91.1,83
,,,,,,,,,,,,,,,,,,,,,,82.2,83
,,,,,,,,,,,,,,,,,,,,,,71.8,83
,,,,,,,,,,,,,,,,,,,,,,50.3,83
,,,,,,,,,,,,,,,,,,,,,,55.8,83
,,,,,,,,,,,,,,,,,,,,,,33.4,83
,,,,,,,,,,,,,,,,,,,,,,33.4,83
,,,,,,,,,,,,,,,,,,,,,,57,84
,,,,,,,,,,,,,,,,,,,,,,85.4,84
,,,,,,,,,,,,,,,,,,,,,,83.5,84
,,,,,,,,,,,,,,,,,,,,,,69.7,84
,,,,,,,,,,,,,,,,,,,,,,76.4,84
,,,,,,,,,,,,,,,,,,,,,,46.1,84
,,,,,,,,,,,,,,,,,,,,,,37.4,84
,,,,,,,,,,,,,,,,,,,,,,25.5,84
,,,,,,,,,,,,,,,,,,,,,,15.7,84
,,,,,,,,,,,,,,,,,,,,,,12,84
,,,,,,,,,,,,,,,,,,,,,,22.8,84
,,,,,,,,,,,,,,,,,,,,,,18.7,84
,,,,,,,,,,,,,,,,,,,,,,16.5,85
,,,,,,,,,,,,,,,,,,,,,,15.9,85
,,,,,,,,,,,,,,,,,,,,,,17.2,85
,,,,,,,,,,,,,,,,,,,,,,16.2,85
,,,,,,,,,,,,,,,,,,,,,,27.5,85
,,,,,,,,,,,,,,,,,,,,,,24.2,85
,,,,,,,,,,,,,,,,,,,,,,30.7,85
,,,,,,,,,,,,,,,,,,,,,,11.1,85
,,,,,,,,,,,,,,,,,,,,,,3.9,85
,,,,,,,,,,,,,,,,,,,,,,18.6,85
,,,,,,,,,,,,,,,,,,,,,,16.2,85
,,,,,,,,,,,,,,,,,,,,,,17.3,85
,,,,,,,,,,,,,,,,,,,,,,2.5,86
,,,,,,,,,,,,,,,,,,,,,,23.2,86
,,,,,,,,,,,,,,,,,,,,,,15.1,86
,,,,,,,,,,,,,,,,,,,,,,18.5,86
,,,,,,,,,,,,,,,,,,,,,,13.7,86
,,,,,,,,,,,,,,,,,,,,,,1.1,86
,,,,,,,,,,,,,,,,,,,,,,18.1,86
,,,,,,,,,,,,,,,,,,,,,,7.4,86
,,,,,,,,,,,,,,,,,,,,,,3.8,86
,,,,,,,,,,,,,,,,,,,,,,35.5,86
,,,,,,,,,,,,,,,,,,,,,,14.7,86
,,,,,,,,,,,,,,,,,,,,,,6.7,86
,,,,,,,,,,,,,,,,,,,,,,10.4,87
,,,,,,,,,,,,,,,,,,,,,,2.4,87
,,,,,,,,,,,,,,,,,,,,,,14.8,87
,,,,,,,,,,,,,,,,,,,,,,39.3,87
,,,,,,,,,,,,,,,,,,,,,,30.6,87
,,,,,,,,,,,,,,,,,,,,,,17.5,87
,,,,,,,,,,,,,,,,,,,,,,33,87
,,,,,,,,,,,,,,,,,,,,,,38.6,87
,,,,,,,,,,,,,,,,,,,,,,33.5,87
,,,,,,,,,,,,,,,,,,,,,,60.5,87
,,,,,,,,,,,,,,,,,,,,,,39.9,87
,,,,,,,,,,,,,,,,,,,,,,27.1,87
,,,,,,,,,,,,,,,,,,,,,,59,88
,,,,,,,,,,,,,,,,,,,,,,40,88
,,,,,,,,,,,,,,,,,,,,,,76.2,88
,,,,,,,,,,,,,,,,,,,,,,88,88
,,,,,,,,,,,,,,,,,,,,,,60.1,88
,,,,,,,,,,,,,,,,,,,,,,101.8,88
,,,,,,,,,,,,,,,,,,,,,,113.8,88
,,,,,,,,,,,,,,,,,,,,,,111.6,88
,,,,,,,,,,,,,,,,,,,,,,120.1,88
,,,,,,,,,,,,,,,,,,,,,,125.1,88
,,,,,,,,,,,,,,,,,,,,,,125.1,88
,,,,,,,,,,,,,,,,,,,,,,179.2,88
,,,,,,,,,,,,,,,,,,,,,,161.3,89
,,,,,,,,,,,,,,,,,,,,,,165.1,89
,,,,,,,,,,,,,,,,,,,,,,131.4,89
,,,,,,,,,,,,,,,,,,,,,,130.6,89
,,,,,,,,,,,,,,,,,,,,,,138.5,89
,,,,,,,,,,,,,,,,,,,,,,196.2,89
,,,,,,,,,,,,,,,,,,,,,,126.9,89
,,,,,,,,,,,,,,,,,,,,,,168.9,89
,,,,,,,,,,,,,,,,,,,,,,176.7,89
,,,,,,,,,,,,,,,,,,,,,,159.4,89
,,,,,,,,,,,,,,,,,,,,,,173,89
,,,,,,,,,,,,,,,,,,,,,,165.5,89
,,,,,,,,,,,,,,,,,,,,,,177.3,90
,,,,,,,,,,,,,,,,,,,,,,130.5,90
,,,,,,,,,,,,,,,,,,,,,,140.3,90
,,,,,,,,,,,,,,,,,,,,,,140.3,90
,,,,,,,,,,,,,,,,,,,,,,132.2,90
,,,,,,,,,,,,,,,,,,,,,,105.4,90
,,,,,,,,,,,,,,,,,,,,,,149.4,90
,,,,,,,,,,,,,,,,,,,,,,200.3,90
,,,,,,,,,,,,,,,,,,,,,,125.2,90
,,,,,,,,,,,,,,,,,,,,,,145.5,90
,,,,,,,,,,,,,,,,,,,,,,131.4,90
,,,,,,,,,,,,,,,,,,,,,,129.7,90
,,,,,,,,,,,,,,,,,,,,,,136.9,91
,,,,,,,,,,,,,,,,,,,,,,167.5,91
,,,,,,,,,,,,,,,,,,,,,,141.9,91
,,,,,,,,,,,,,,,,,,,,,,140,91
,,,,,,,,,,,,,,,,,,,,,,121.3,91
,,,,,,,,,,,,,,,,,,,,,,169.7,91
,,,,,,,,,,,,,,,,,,,,,,173.7,91
,,,,,,,,,,,,,,,,,,,,,,176.3,91
,,,,,,,,,,,,,,,,,,,,,,125.3,91
,,,,,,,,,,,,,,,,,,,,,,144.1,91
,,,,,,,,,,,,,,,,,,,,,,108.2,91
,,,,,,,,,,,,,,,,,,,,,,144.4,91
,,,,,,,,,,,,,,,,,,,,,,150,92
,,,,,,,,,,,,,,,,,,,,,,161.1,92
,,,,,,,,,,,,,,,,,,,,,,106.7,92
,,,,,,,,,,,,,,,,,,,,,,99.8,92
,,,,,,,,,,,,,,,,,,,,,,73.8,92
,,,,,,,,,,,,,,,,,,,,,,65.2,92
,,,,,,,,,,,,,,,,,,,,,,85.7,92
,,,,,,,,,,,,,,,,,,,,,,64.5,92
,,,,,,,,,,,,,,,,,,,,,,63.9,92
,,,,,,,,,,,,,,,,,,,,,,88.7,92
,,,,,,,,,,,,,,,,,,,,,,91.8,92
,,,,,,,,,,,,,,,,,,,,,,82.6,92
,,,,,,,,,,,,,,,,,,,,,,59.3,93
,,,,,,,,,,,,,,,,,,,,,,91,93
,,,,,,,,,,,,,,,,,,,,,,69.8,93
,,,,,,,,,,,,,,,,,,,,,,62.2,93
,,,,,,,,,,,,,,,,,,,,,,61.3,93
,,,,,,,,,,,,,,,,,,,,,,49.8,93
,,,,,,,,,,,,,,,,,,,,,,57.9,93
,,,,,,,,,,,,,,,,,,,,,,42.2,93
,,,,,,,,,,,,,,,,,,,,,,22.4,93
,,,,,,,,,,,,,,,,,,,,,,56.4,93
,,,,,,,,,,,,,,,,,,,,,,35.6,93
,,,,,,,,,,,,,,,,,,,,,,48.9,93
,,,,,,,,,,,,,,,,,,,,,,57.8,94
,,,,,,,,,,,,,,,,,,,,,,35.5,94
,,,,,,,,,,,,,,,,,,,,,,31.7,94
,,,,,,,,,,,,,,,,,,,,,,16.1,94
,,,,,,,,,,,,,,,,,,,,,,17.8,94
,,,,,,,,,,,,,,,,,,,,,,28,94
,,,,,,,,,,,,,,,,,,,,,,35.1,94
,,,,,,,,,,,,,,,,,,,,,,22.5,94
,,,,,,,,,,,,,,,,,,,,,,25.7,94
,,,,,,,,,,,,,,,,,,,,,,43.8,94
,,,,,,,,,,,,,,,,,,,,,,18,94
,,,,,,,,,,,,,,,,,,,,,,26.7,94
,,,,,,,,,,,,,,,,,,,,,,24.2,95
,,,,,,,,,,,,,,,,,,,,,,29.9,95
,,,,,,,,,,,,,,,,,,,,,,31.1,95
,,,,,,,,,,,,,,,,,,,,,,14,95
,,,,,,,,,,,,,,,,,,,,,,14.5,95
,,,,,,,,,,,,,,,,,,,,,,15.6,95
,,,,,,,,,,,,,,,,,,,,,,14.5,95
,,,,,,,,,,,,,,,,,,,,,,14.3,95
,,,,,,,,,,,,,,,,,,,,,,11.8,95
,,,,,,,,,,,,,,,,,,,,,,21.1,95
,,,,,,,,,,,,,,,,,,,,,,9,95
,,,,,,,,,,,,,,,,,,,,,,10,95
,,,,,,,,,,,,,,,,,,,,,,11.5,96
,,,,,,,,,,,,,,,,,,,,,,4.4,96
,,,,,,,,,,,,,,,,,,,,,,9.2,96
,,,,,,,,,,,,,,,,,,,,,,4.8,96
,,,,,,,,,,,,,,,,,,,,,,5.5,96
,,,,,,,,,,,,,,,,,,,,,,11.8,96
,,,,,,,,,,,,,,,,,,,,,,8.2,96
,,,,,,,,,,,,,,,,,,,,,,14.4,96
,,,,,,,,,,,,,,,,,,,,,,1.6,96
,,,,,,,,,,,,,,,,,,,,,,0.9,96
,,,,,,,,,,,,,,,,,,,,,,17.9,96
,,,,,,,,,,,,,,,,,,,,,,13.3,96
,,,,,,,,,,,,,,,,,,,,,,5.7,97
,,,,,,,,,,,,,,,,,,,,,,7.6,97
,,,,,,,,,,,,,,,,,,,,,,8.7,97
,,,,,,,,,,,,,,,,,,,,,,15.5,97
,,,,,,,,,,,,,,,,,,,,,,18.5,97
,,,,,,,,,,,,,,,,,,,,,,12.7,97
,,,,,,,,,,,,,,,,,,,,,,10.4,97
,,,,,,,,,,,,,,,,,,,,,,24.4,97
,,,,,,,,,,,,,,,,,,,,,,51.3,97
,,,,,,,,,,,,,,,,,,,,,,22.8,97
,,,,,,,,,,,,,,,,,,,,,,39,97
,,,,,,,,,,,,,,,,,,,,,,41.2,97
,,,,,,,,,,,,,,,,,,,,,,31.9,98
,,,,,,,,,,,,,,,,,,,,,,40.3,98
,,,,,,,,,,,,,,,,,,,,,,54.8,98
,,,,,,,,,,,,,,,,,,,,,,53.4,98
,,,,,,,,,,,,,,,,,,,,,,56.3,98
,,,,,,,,,,,,,,,,,,,,,,70.6,98
,,,,,,,,,,,,,,,,,,,,,,66.2,98
,,,,,,,,,,,,,,,,,,,,,,91.7,98
,,,,,,,,,,,,,,,,,,,,,,92.9,98
,,,,,,,,,,,,,,,,,,,,,,55.6,98
,,,,,,,,,,,,,,,,,,,,,,73.6,98
,,,,,,,,,,,,,,,,,,,,,,81.6,98
,,,,,,,,,,,,,,,,,,,,,,62,99
,,,,,,,,,,,,,,,,,,,,,,66.3,99
,,,,,,,,,,,,,,,,,,,,,,68.8,99
,,,,,,,,,,,,,,,,,,,,,,63.7,99
,,,,,,,,,,,,,,,,,,,,,,106.4,99
,,,,,,,,,,,,,,,,,,,,,,137.6,99
,,,,,,,,,,,,,,,,,,,,,,113.5,99
,,,,,,,,,,,,,,,,,,,,,,93.7,99
,,,,,,,,,,,,,,,,,,,,,,70.9,99
,,,,,,,,,,,,,,,,,,,,,,116.4,99
,,,,,,,,,,,,,,,,,,,,,,132.7,99
,,,,,,,,,,,,,,,,,,,,,,86.4,99
