crefstk,crefgwt,tiaa,date
179.2741,79.4469,74.5316,8/11/99
179.5148,79.3614,73.7788,8/12/99
182.9771,81.3832,73.7788,8/13/99
182.9771,81.3832,73.7788,8/14/99
182.9771,81.3832,72.5087,8/15/99
183.6647,81.7407,72.33,8/16/99
185.0856,82.4427,72.9652,8/17/99
184.0934,81.8717,72.3153,8/18/99
182.8975,81.3157,74.3713,8/19/99
184.6952,82.4436,74.3713,8/20/99
184.6952,82.4436,74.3713,8/21/99
184.6952,82.4436,74.3713,8/22/99
187.3859,84.049,74.0935,8/23/99
187.4331,84.5604,73.7084,8/24/99
189.2242,86.0785,73.8868,8/25/99
187.1775,84.8401,74.1504,8/26/99
185.6509,83.985,74.1504,8/27/99
185.6509,83.985,74.1504,8/28/99
185.6509,83.985,73.7321,8/29/99
183.1458,82.6207,73.3609,8/30/99
182.3861,82.6641,72.4223,8/31/99
184.2196,83.5009,72.3296,9/1/99
182.7537,83.0264,73.2377,9/2/99
187.0506,85.4582,73.2377,9/3/99
187.0506,85.4582,73.2377,9/4/99
187.0506,85.4582,73.2003,9/5/99
187.0506,85.4582,71.7334,9/6/99
186.6525,85.57,71.9162,9/7/99
185.8475,85.1421,70.2654,9/8/99
186.6487,85.3873,70.1191,9/9/99
187.0831,86.07,70.1191,9/10/99
187.0831,86.07,70.1191,9/11/99
187.0831,86.07,70.4521,9/12/99
186.1976,85.3222,70.346,9/13/99
185.3991,85.4116,69.7623,9/14/99
183.4345,83.8504,70.4559,9/15/99
182.8635,84.0033,70.3848,9/16/99
184.6352,85.4275,70.3848,9/17/99
184.6352,85.4275,70.3848,9/18/99
184.6352,85.4275,71.5241,9/19/99
184.8275,85.8463,71.4218,9/20/99
182.0107,84.0503,72.719,9/21/99
181.922,84.383,72.3267,9/22/99
178.6771,82.1373,73.1327,9/23/99
177.7341,81.5984,73.1327,9/24/99
177.7341,81.5984,73.1327,9/25/99
177.7341,81.5984,73.2401,9/26/99
178.5211,81.9283,72.0065,9/27/99
178.4385,81.6164,70.5878,9/28/99
177.2364,80.9758,70.5437,9/29/99
179.1148,81.8827,68.6759,9/30/99
179.0255,82.1649,68.6759,10/1/99
179.0255,82.1649,68.6759,10/2/99
179.0255,82.1649,68.8386,10/3/99
181.5469,83.452,69.3216,10/4/99
181.2853,83.4722,70.7045,10/5/99
183.9622,84.8279,70.397,10/6/99
183.564,84.4566,71.3748,10/7/99
184.8792,85.2834,71.3748,10/8/99
184.8792,85.2834,71.3748,10/9/99
184.8792,85.2834,70.9932,10/10/99
185.3927,85.7914,70.4205,10/11/99
182.8773,84.3546,71.1776,10/12/99
179.4539,82.0415,73.5903,10/13/99
179.0955,81.2328,74.7887,10/14/99
175.0351,79.1683,74.7887,10/15/99
175.0351,79.1683,74.7872,10/16/99
175.0351,79.1683,74.4342,10/17/99
174.5971,78.5482,74.167,10/18/99
175.8757,78.9945,74.6184,10/19/99
178.9167,81.1207,75.1096,10/20/99
178.0094,80.8673,75.6294,10/21/99
180.3091,81.6204,75.6294,10/22/99
180.3091,81.6204,75.6294,10/23/99
180.3091,81.6204,76.0087,10/24/99
179.5136,81.4447,75.4188,10/25/99
178.4346,80.7459,75.8639,10/26/99
179.5567,80.9751,76.1554,10/27/99
184.7821,83.8452,77.0149,10/28/99
187.8528,85.613,77.0149,10/29/99
187.8528,85.613,77.0149,10/30/99
187.8513,85.6125,76.9467,10/31/99
186.9562,84.8721,78.2913,11/1/99
186.5446,84.9758,77.8626,11/2/99
187.5388,86.1381,78.6784,11/3/99
188.7013,86.7555,78.5381,11/4/99
189.4746,87.3253,78.5381,11/5/99
189.4746,87.3253,78.5381,11/6/99
189.4746,87.3253,78.5111,11/7/99
190.2225,87.7896,77.5567,11/8/99
189.3164,87.2178,78.1882,11/9/99
190.6533,88.2837,78.1882,11/10/99
191.5581,89.597,78.278,11/11/99
193.0222,89.9423,78.278,11/12/99
193.0222,89.9423,78.278,11/13/99
193.0222,89.9423,77.776,11/14/99
193.1234,89.6984,76.8351,11/15/99
195.8644,91.4207,77.2919,11/16/99
195.434,90.9666,78.0554,11/17/99
197.3588,92.7101,79.3615,11/18/99
196.9886,92.7831,79.3615,11/19/99
196.9886,92.7831,79.3615,11/20/99
196.9886,92.7831,78.9071,11/21/99
196.9061,92.9686,78.3431,11/22/99
195.0594,92.0066,78.1679,11/23/99
195.9827,93.0586,78.3714,11/24/99
195.9827,93.0586,78.7544,11/25/99
197.0037,93.2599,78.7544,11/26/99
197.0037,93.2599,78.7544,11/27/99
197.0037,93.2599,78.6316,11/28/99
195.9598,92.7578,77.7758,11/29/99
193.3856,90.4129,78.1645,11/30/99
194.5341,91.2026,78.5278,12/1/99
196.0098,92.6431,78.7156,12/2/99
199.117,94.1141,78.7156,12/3/99
199.117,94.1141,78.7156,12/4/99
199.117,94.1141,78.6511,12/5/99
198.5776,93.9483,79.6023,12/6/99
197.6629,93.2722,79.8273,12/7/99
197.132,93.4034,80.9442,12/8/99
197.1941,92.8378,80.9442,12/9/99
197.9877,93.7529,80.9442,12/10/99
197.9877,93.7529,80.9442,12/11/99
197.9877,93.7529,80.7311,12/12/99
197.556,93.8721,80.9037,12/13/99
195.7611,92.3479,81.3934,12/14/99
196.192,93.4181,81.4338,12/15/99
197.4304,94.5155,81.751,12/16/99
197.8295,94.9843,81.751,12/17/99
197.8295,94.9843,81.751,12/18/99
197.8295,94.9843,81.021,12/19/99
197.7417,95.492,77.8867,12/20/99
199.5282,96.665,78.0308,12/21/99
200.5497,97.2442,77.9901,12/22/99
203.4115,98.83,80.0927,12/23/99
203.4115,98.83,80.0927,12/24/99
203.4115,98.83,80.0927,12/25/99
203.4115,98.83,81.3375,12/26/99
203.1101,98.8204,80.1496,12/27/99
203.6343,98.7611,79.8306,12/28/99
204.7903,99.6445,81.0108,12/29/99
205.2499,99.7001,81.9566,12/30/99
206.1095,100.2074,81.9566,12/31/99
206.1095,100.2074,81.9566,1/1/00
206.1095,100.2074,81.9566,1/2/00
205.094,100.4089,81.5221,1/3/00
198.0197,95.8009,81.7687,1/4/00
196.9447,94.9274,81.4251,1/5/00
196.2883,93.3027,81.4064,1/6/00
200.9054,96.3512,81.4064,1/7/00
200.9054,96.3512,81.4064,1/8/00
200.9054,96.3512,79.2669,1/9/00
203.7284,99.277,79.6435,1/10/00
201.6855,97.3058,79.3164,1/11/00
200.7985,96.3749,79.0546,1/12/00
203.2768,98.0261,76.9601,1/13/00
205.475,99.6684,76.9601,1/14/00
205.475,99.6684,76.9601,1/15/00
205.475,99.6684,78.4866,1/16/00
205.475,99.6684,79.4175,1/17/00
204.4729,99.7917,79.4971,1/18/00
204.3281,100.2189,80.4945,1/19/00
203.653,100.1551,80.446,1/20/00
203.4468,100.3334,80.446,1/21/00
203.4468,100.3334,80.446,1/22/00
203.4468,100.3334,80.6328,1/23/00
199.1281,97.1944,81.5753,1/24/00
199.4841,98.2214,80.0298,1/25/00
199.0961,97.052,80.3835,1/26/00
198.8652,96.5875,78.8785,1/27/00
194.5597,94.0591,78.8785,1/28/00
194.5597,94.0591,78.8785,1/29/00
194.5597,94.0591,79.0316,1/30/00
197.1671,95.7621,79.6032,1/31/00
199.0718,97.6805,79.0683,2/1/00
199.7138,97.7927,79.3139,2/2/00
202.5631,100.1894,77.0867,2/3/00
202.7238,100.702,77.0867,2/4/00
202.7238,100.702,77.0867,2/5/00
202.7238,100.702,77.0867,2/6/00
202.7115,101.2349,77.3541,2/7/00
205.262,103.0468,78.1194,2/8/00
202.376,101.1662,78.0636,2/9/00
202.8441,102.7455,77.0937,2/10/00
199.7692,100.3174,77.0937,2/11/00
199.7692,100.3174,77.0937,2/12/00
199.7692,100.3174,77.7953,2/13/00
199.7148,100.5213,79.1204,2/14/00
200.163,100.5695,79.9762,2/15/00
199.1847,99.9135,79.9588,2/16/00
200.2055,101.0617,81.6904,2/17/00
195.5114,98.0722,81.6904,2/18/00
195.5114,98.0722,81.6904,2/19/00
195.5114,98.0722,80.9371,2/20/00
195.5114,98.0722,79.0126,2/21/00
195.9489,98.6392,79.5142,2/22/00
197.7443,100.5595,81.4327,2/23/00
197.4938,101.3295,81.0967,2/24/00
195.8491,100.5662,81.0967,2/25/00
195.8491,100.5662,81.0967,2/26/00
195.8491,100.5662,80.1483,2/27/00
196.6919,100.7087,78.5372,2/28/00
199.432,102.3932,79.7906,2/29/00
201.893,103.6593,83.5936,3/1/00
202.5284,103.5872,83.9688,3/2/00
206.1259,106.9854,83.9688,3/3/00
206.1259,106.9854,83.9688,3/4/00
206.1259,106.9854,83.0162,3/5/00
204.6383,106.162,84.9686,3/6/00
200.6204,103.1966,85.7644,3/7/00
201.3119,104.5044,87.1352,3/8/00
205.5749,107.8579,87.1511,3/9/00
205.0943,107.6938,87.1511,3/10/00
205.0943,107.6938,87.1511,3/11/00
205.0943,107.6938,86.9125,3/12/00
202.1652,105.7145,85.8629,3/13/00
198.9774,102.7194,85.4185,3/14/00
200.9385,102.9266,84.2531,3/15/00
209.1448,107.608,85.2149,3/16/00
210.1095,109.0227,85.2149,3/17/00
210.1095,109.0227,85.2149,3/18/00
210.1095,109.0227,84.931,3/19/00
208.6654,107.8034,84.1554,3/20/00
212.5545,110.8536,84.0676,3/21/00
213.8695,112.9592,85.082,3/22/00
216.7353,114.7257,86.069,3/23/00
217.6099,114.8971,86.069,3/24/00
217.6099,114.8971,86.069,3/25/00
217.6099,114.8971,84.9071,3/26/00
217.2831,114.8709,84.5023,3/27/00
215.4447,112.6384,82.5353,3/28/00
214.5319,110.8505,81.0976,3/29/00
211.1322,108.1836,76.1663,3/30/00
213.3661,109.779,,3/31/00
213.3661,109.779,,4/1/00
213.3661,109.779,,4/2/00
212.3117,107.2682,,4/3/00
210.437,106.3593,,4/4/00
209.7931,106.5916,,4/5/00
212.2892,108.4288,,4/6/00
214.7642,111.4212,,4/7/00
214.7642,111.4212,,4/8/00
214.7642,111.4212,,4/9/00
212.4803,108.1663,,4/10/00
211.0942,106.7344,,4/11/00
206.9876,101.955,,4/12/00
203.6363,99.7463,,4/13/00
192.9554,93.0637,,4/14/00
